kode;kecamatan;jumlah_penduduk;kepadatan_penduduk
33.02.01;Lumbir;2.8;473
33.02.02;Wangon;4.68;1242
33.02.03;Jatilawang;3.74;1397
33.02.04;Rawalo;2.97;1052
33.02.05;Kebasen;3.81;1323
33.02.06;Kemranjen;4.07;1183
33.02.07;Sumpiuh;3.24;958
33.02.08;Tambak;2.84;974
33.02.09;Somagede;2.12;867
33.02.10;Kalibagor;3.25;1462
33.02.11;Banyumas;2.97;1341
33.02.12;Patikraja;3.44;1376
33.02.13;Purwojati;2.1;910
33.02.14;Ajibarang;5.72;1514
33.02.15;Gumelar;3.01;592
33.02.16;Pekuncen;4.26;943
33.02.17;Cilongok;6.98;943
33.02.18;Karanglewas;3.79;2175
33.02.23;Kedungbanteng;3.51;1128
33.02.22;Baturraden;2.99;1189
33.02.21;Sumbang;5.35;1702
33.02.20;Kembaran;4.56;3141
33.02.19;Sokaraja;5.01;3106
33.02.24;Purwokerto Selatan;4.03;4567
33.02.25;Purwokerto Barat;2.95;7417
33.02.26;Purwokerto Timur;3.04;7135
33.02.27;Purwokerto Utara;2.77;5240
;;;
