kode;kecamatan;2023;2022;2021;2020
33.02.01;Lumbir;1;8;-;2
33.02.02;Wangon;-;7;-;3
33.02.03;Jatilawang;1;-;-;-
33.02.04;Rawalo;1;8;-;2
33.02.05;Kebasen;-;11;-;-
33.02.06;Kemranjen;1;11;5;7
33.02.07;Sumpiuh;7;11;3;5
33.02.08;Tambak;5;10;1;8
33.02.09;Somagede;-;-;-;1
33.02.10;Kalibagor;-;3;2;2
33.02.11;Banyumas;1;4;-;1
33.02.12;Patikraja;-;4;-;1
33.02.13;Purwojati;-;7;-;-
33.02.14;Ajibarang;-;5;1;-
33.02.15;Gumelar;-;5;-;1
33.02.16;Pekuncen;-;7;-;-
33.02.17;Cilongok;-;4;2;-
33.02.18;Karanglewas;-;1;-;-
33.02.23;Kedungbanteng;1;-;-;-
33.02.22;Baturraden;-;1;1;-
33.02.21;Sumbang;1;1;-;-
33.02.20;Kembaran;1;1;1;7
33.02.19;Sokaraja;-;2;2;-
33.02.24;Purwokerto Selatan;-;1;2;1
33.02.25;Purwokerto Barat;-;3;-;1
33.02.26;Purwokerto Timur;-;5;1;-
33.02.27;Purwokerto Utara;-;-;-;1
